symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,hedge_notional,trend_notional,adx,range_pct,volume_ratio,atr_expansion
MITOUSDT,2026-04-02 08:00,2026-04-02 08:05,2026-04-02 08:30,LONG,71.55577645061311,0.03857570392995952,0.0388,7,False,1130.0,0.3636030849105021,0.0003217726415137187,0.002749209378908509,group-profit-giveback,True,220.0,910.0,34.462496072135224,7.009222661396564,4.07147067085454,1.323251469008541
1000000BOBUSDT,2026-04-02 17:00,2026-04-02 17:05,2026-04-02 18:05,LONG,72.4741719752253,0.011357009753696641,0.01109,9,False,1200.0,-21.074315843004186,-0.017561929869170156,0.0,failed-breakout-back-inside-range,True,220.0,980.0,44.96734191245646,6.344950848972301,5.176037224383055,1.1468533074566791
1000000BOBUSDT,2026-04-03 08:00,2026-04-03 08:05,2026-04-03 10:05,HEDGED,88.61720067453625,0.01186,0.01173,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,60.71636881958971,19.477234401349065,58.690544823614474,2.1247200329271183
1000XECUSDT,2026-04-04 14:00,2026-04-04 14:05,2026-04-04 16:05,HEDGED,88.38026441824742,0.00684,0.00685,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,73.49871538764489,4.532163742690065,6.684868442252194,2.0195018592340186
1000000BOBUSDT,2026-04-05 10:00,2026-04-05 10:05,2026-04-05 10:45,LONG,74.1314860095632,0.011942219660114642,0.01195,5,False,990.0,-6.136277080508502,-0.006198259677281315,0.0,failed-breakout-back-inside-range,True,220.0,770.0,41.03241168752705,7.758620689655171,2.2719054117711877,1.5004330444460299
MITOUSDT,2026-04-05 13:00,2026-04-05 13:05,2026-04-05 15:05,HEDGED,87.94883999724557,0.04006,0.03924,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,48.19057333193251,8.96155766350475,10.252239425271947,2.019321872517099
TRUTHUSDT,2026-04-05 16:00,2026-04-05 16:05,2026-04-05 18:05,HEDGED,72.61973375612779,0.009088,0.009117,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,50.84775729064871,4.830545774647889,3.2520727558489697,1.331769875750535
TRUTHUSDT,2026-04-07 01:00,2026-04-07 01:05,2026-04-07 03:05,HEDGED,72.05424318233202,0.009121,0.009163,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,40.03743479629335,4.900778423418479,2.7778210185816934,1.3206075763385086
1000000BOBUSDT,2026-04-07 20:00,2026-04-07 20:05,2026-04-07 20:35,LONG,71.98594861861346,0.012502041785502101,0.01206,5,False,990.0,-21.193068860188937,-0.02140714026281711,0.0,failed-breakout-back-inside-range,True,220.0,770.0,48.757251019850045,7.0967741935483915,2.954905392663626,1.1494876310176692
IOUSDT,2026-04-07 23:00,2026-04-07 23:05,2026-04-07 23:35,LONG,72.28915393718353,0.1027282005337154,0.1025,4,False,890.0,-2.134131274830704,-0.0023979003087985437,0.0,failed-breakout-back-inside-range,True,220.0,670.0,70.14466981992338,6.849315068493143,2.2614425146564443,1.1092396948587426
TRUTHUSDT,2026-04-10 17:00,2026-04-10 17:05,2026-04-10 18:50,LONG,84.35691256852492,0.010464626933860476,0.010526,7,False,1130.0,-0.10305253506779266,-9.119693368831209e-05,0.003945312784802878,group-profit-giveback,True,220.0,910.0,46.42758794760389,7.729750778816196,5.978277178632812,1.5029435149367967
TRUTHUSDT,2026-04-12 13:00,2026-04-12 13:05,2026-04-12 15:05,HEDGED,77.01138368454818,0.009529,0.009454,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,57.13906114022202,9.602266764613278,12.782863156911999,1.4856267855267526
MITOUSDT,2026-04-13 11:00,2026-04-13 11:05,2026-04-13 13:05,HEDGED,82.8187611731797,0.03615,0.03616,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,48.00961252689912,10.484094052558786,31.104561796701077,2.114961863854189
1000000BOBUSDT,2026-04-13 23:00,2026-04-13 23:05,2026-04-14 01:05,HEDGED,71.07929308127922,0.01272,0.0126,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,45.53349340932563,5.81761006289309,2.695000398943809,1.1459509386868274
IOUSDT,2026-04-14 00:00,2026-04-14 00:05,2026-04-14 02:05,LONG,83.65475091920554,0.1065,0.1055,1,False,440.0,0.0,0.0,0.0,stagnation-exit filled=1 peak=0.7%,True,220.0,220.0,56.35509742161431,6.948356807511728,2.664892939825088,1.2994872406821827
