symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,adx,range_pct,volume_ratio,atr_expansion
AVAAIUSDT,2026-04-01 17:00,2026-04-02 02:20,2026-04-02 07:50,SHORT,80.06421304063167,0.006085432949363239,0.006693976244299563,6,False,850.0,-85.00000000000001,-0.10000000000000002,0.007465853250095015,hard-stop,43.976006085148335,6.340859882462106,2.1028771883054813,1.556606924472797
NFPUSDT,2026-04-01 19:00,2026-04-01 21:25,2026-04-02 15:45,LONG,70.75717855523816,0.014127375221973338,0.01416,10,True,1000.0,2.3093304675534267,0.0023093304675534266,0.03487022679630153,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,70.39137880741286,5.221174764321974,1.7733440309405006,1.4300536235913326
AVAAIUSDT,2026-04-02 08:00,2026-04-02 09:10,2026-04-04 08:00,LONG,72.5264886933292,0.00683141160376976,0.006403,2,False,400.0,-25.084806983865573,-0.06271201745966393,0.001696339922461346,timeout,57.89783680911396,8.594100913310374,2.014932869604304,1.3091089695375706
MITOUSDT,2026-04-02 08:00,2026-04-02 08:05,2026-04-02 13:00,LONG,71.55577645061311,0.03879235711294581,0.03869,10,True,1000.0,-2.6385896749659254,-0.0026385896749659254,0.05252691609126744,profit-giveback,34.462496072135224,7.009222661396564,4.07147067085454,1.323251469008541
1000000BOBUSDT,2026-04-02 17:00,2026-04-02 18:05,2026-04-03 07:40,LONG,72.4741719752253,0.011394635538069894,0.01214,10,True,1000.0,65.41362902216709,0.06541362902216709,0.18038000908963325,profit-giveback,44.96734191245646,6.344950848972301,5.176037224383055,1.1468533074566791
USUALUSDT,2026-04-03 06:00,2026-04-03 10:45,2026-04-05 06:00,LONG,75.77806272833242,0.012909236167909215,0.01219,10,True,1000.0,-55.714850867563264,-0.05571485086756327,0.027946179572390196,timeout,71.30852052646918,5.54235946159936,2.9592634149330252,1.327660242007622
1000000BOBUSDT,2026-04-03 08:00,2026-04-03 10:30,2026-04-05 08:00,SHORT,88.61720067453625,0.010968777673315252,0.01136,6,False,850.0,-30.31686734712788,-0.03566690276132692,0.025415564214913353,timeout,60.71636881958971,19.477234401349065,58.690544823614474,2.1247200329271183
STORJUSDT,2026-04-03 12:00,2026-04-03 14:25,2026-04-05 12:00,SHORT,70.92668851143155,0.09217047243496124,0.0933,8,False,950.0,-11.642027630312976,-0.012254765926645237,0.009444157244343812,timeout,50.02426198174804,4.407135362014686,5.30678535123449,1.178198421452623
USTCUSDT,2026-04-03 21:00,2026-04-04 06:05,2026-04-05 14:20,SHORT,85.3025710702341,0.00434599373147737,0.004780593104625108,5,False,770.0,-77.00000000000009,-0.10000000000000012,0.02070728515449968,hard-stop,46.951629220396676,19.899665551839476,213.30627015234373,2.854224553848904
HYPERUSDT,2026-04-04 02:00,2026-04-05 06:10,2026-04-06 02:00,SHORT,70.89382971958584,0.08395433369933199,0.0844,7,False,910.0,-4.830677771326546,-0.005308437111347853,0.010176171517144584,timeout,33.18005766131886,4.004711425206125,16.58435434183246,1.512825538879666
1000XECUSDT,2026-04-04 14:00,2026-04-04 21:00,2026-04-06 14:00,LONG,88.38026441824742,0.007116468642361566,0.00687,5,False,770.0,-26.66784105373752,-0.034633559810048724,0.0047117972864849315,timeout,73.49871538764489,4.532163742690065,6.684868442252194,2.0195018592340186
