symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,adx,range_pct,volume_ratio,atr_expansion
MITOUSDT,2026-04-02 08:00,2026-04-02 08:05,2026-04-02 12:55,LONG,71.55577645061311,0.03879235711294581,0.03991306070082561,10,True,1000.0,28.889803850197058,0.028889803850197057,0.05252691609126744,profit-lock filled=10 peak=5.3% lock=0.55,True,34.462496072135224,7.009222661396564,4.07147067085454,1.323251469008541
1000000BOBUSDT,2026-04-02 17:00,2026-04-02 18:05,2026-04-03 00:05,LONG,72.4741719752253,0.0113895246216159,0.011,9,False,980.0,-33.51624776850633,-0.03420025282500646,0.018479733384538625,weak-trend-timeout filled=9 peak=1.8%,True,44.96734191245646,6.344950848972301,5.176037224383055,1.1468533074566791
1000000BOBUSDT,2026-04-03 08:00,2026-04-03 10:30,2026-04-03 16:30,SHORT,88.61720067453625,0.011015093249434522,0.01123,4,False,670.0,-13.071838759627616,-0.019510207103921814,0.008632995407406504,weak-trend-timeout filled=4 peak=0.9%,True,60.71636881958971,19.477234401349065,58.690544823614474,2.1247200329271183
1000XECUSDT,2026-04-04 14:00,2026-04-04 21:00,2026-04-05 03:00,LONG,88.38026441824742,0.007116468642361566,0.00691,5,False,770.0,-22.339851773118802,-0.0290127945105439,0.0047117972864849315,weak-trend-timeout filled=5 peak=0.5%,True,73.49871538764489,4.532163742690065,6.684868442252194,2.0195018592340186
1000000BOBUSDT,2026-04-05 10:00,2026-04-05 10:45,2026-04-05 16:45,LONG,74.1314860095632,0.012068958710768107,0.01142,5,False,770.0,-41.40358909717741,-0.053770894931399235,0.008371997257869704,weak-trend-timeout filled=5 peak=0.8%,True,41.03241168752705,7.758620689655171,2.2719054117711877,1.5004330444460299
MITOUSDT,2026-04-05 13:00,2026-04-05 18:30,2026-04-05 18:30,LONG,87.94883999724557,0.042903361498150897,0.044018012674167904,10,True,1000.0,25.980509151131397,0.025980509151131398,0.04723728936569336,profit-lock filled=10 peak=4.7% lock=0.55,True,48.19057333193251,8.96155766350475,10.252239425271947,2.019321872517099
TRUTHUSDT,2026-04-05 16:00,2026-04-06 16:05,2026-04-06 18:05,SHORT,72.61973375612779,0.008851079316934926,0.008945,2,False,400.0,-4.24448498096154,-0.01061121245240385,0.0017036698457863933,stagnation-exit filled=2 peak=0.2%,False,50.84775729064871,4.830545774647889,3.2520727558489697,1.331769875750535
TRUTHUSDT,2026-04-07 01:00,2026-04-08 05:20,2026-04-08 11:20,LONG,72.05424318233202,0.009427745971574884,0.009613,10,True,1000.0,19.649874846401854,0.019649874846401853,0.019755944738719094,weak-trend-timeout filled=10 peak=2.0%,True,40.03743479629335,4.900778423418479,2.7778210185816934,1.3206075763385086
1000000BOBUSDT,2026-04-07 20:00,2026-04-07 20:05,2026-04-08 02:05,LONG,71.98594861861346,0.012562086321311294,0.01278,9,False,980.0,16.999995036862632,0.01734693371108432,0.018939025939114257,weak-trend-timeout filled=9 peak=1.9%,True,48.757251019850045,7.0967741935483915,2.954905392663626,1.1494876310176692
IOUSDT,2026-04-07 23:00,2026-04-07 23:05,2026-04-08 05:05,LONG,72.28915393718353,0.10291248949967659,0.1017,4,False,670.0,-7.893774300211322,-0.01178175268688257,0.0027937376864672577,weak-trend-timeout filled=4 peak=0.3%,True,70.14466981992338,6.849315068493143,2.2614425146564443,1.1092396948587426
TRUTHUSDT,2026-04-10 17:00,2026-04-10 18:05,2026-04-11 00:05,LONG,84.35691256852492,0.010512927889983464,0.010094,7,False,910.0,-36.26243648528927,-0.03984883130251568,0.012087223592355138,weak-trend-timeout filled=7 peak=1.2%,True,46.42758794760389,7.729750778816196,5.978277178632812,1.5029435149367967
TRUTHUSDT,2026-04-12 13:00,2026-04-13 06:55,2026-04-13 12:55,SHORT,77.01138368454818,0.00913300226220245,0.009339,6,False,850.0,-19.172017273287306,-0.022555314439161537,0.010840056682365817,weak-trend-timeout filled=6 peak=1.1%,True,57.13906114022202,9.602266764613278,12.782863156911999,1.4856267855267526
MITOUSDT,2026-04-13 11:00,2026-04-13 19:05,2026-04-14 01:05,SHORT,82.8187611731797,0.03502876365136744,0.03599,4,False,670.0,-18.385700391645905,-0.027441343868128215,0.007958135609406565,weak-trend-timeout filled=4 peak=0.8%,True,48.00961252689912,10.484094052558786,31.104561796701077,2.114961863854189
